Indx,Frequency,dB(Spec),Indx,Frequency,dB(Spec)
216,0.473603884421,-12.9892484433,216,0.45802308856,-12.6843134451
217,0.475989358593,-12.9893948083,217,0.460317109857,-12.6783315658
218,0.478374832766,-12.9884584424,218,0.462611131154,-12.6777284657
219,0.480760306938,-12.9865285306,219,0.464905152451,-12.682506989
220,0.48314578111,-12.9837812337,220,0.467199173747,-12.6924546208
221,0.485531255282,-12.9804644303,221,0.469493195044,-12.7071567319
222,0.487942712735,-12.9768367434,222,0.471787216341,-12.7260196139
223,0.490354170188,-12.9732643138,223,0.474081237638,-12.7483012089
224,0.492765627641,-12.9700747936,224,0.476375258935,-12.7731470135
225,0.495177085094,-12.9675609661,225,0.478669280232,-12.7996285426
226,0.497588542547,-12.9659538202,226,0.480963301529,-12.8267819314
227,0.5,-12.9654011553,227,0.483342888838,-12.8546286542
,,,228,0.485722476147,-12.8811287091
,,,229,0.488102063456,-12.9053229275
,,,230,0.490481650765,-12.9263561617
,,,231,0.492861238073,-12.9435004976
,,,232,0.495240825382,-12.9561730425
,,,233,0.497620412691,-12.9639488618
,,,234,0.5,-12.9665696791
