id,COUNTRY,YEAR,WEEK,Week_Sus_Cases,Incidence_sus_cases,Cum_sus_cases,Week_conf_cases,Incidence_conf_cases,Cum_conf_cases,Week_import_cases,Cum_import_cases,Week_deaths,Cum_deaths,Population,Source,
719,Saint Barthelemy,2014,4,0,0,0,15,166.6667,45,-1,0,0,0,9000,PAHO,
720,Saint-Martin,2014,4,0,0,0,99,275,393,0,0,-1,0,36000,PAHO,
721,Bolivia,2014,4,0,0,0,0,0,0,0,0,0,0,10671000,PAHO,
722,Colombia,2014,4,0,0,0,0,0,0,0,0,0,0,48321000,PAHO,
723,Ecuador,2014,4,0,0,0,0,0,0,0,0,0,0,15738000,PAHO,
724,Peru,2014,4,0,0,0,0,0,0,0,0,0,0,30376000,PAHO,
725,Venezuela,2014,4,0,0,0,0,0,0,0,0,0,0,30405000,PAHO,
726,Brazil,2014,4,0,0,0,0,0,0,0,0,0,0,191481000,PAHO,
727,Chile,2014,4,0,0,0,0,0,0,0,0,0,0,4537000,PAHO,
728,Paraguay,2014,4,0,0,0,0,0,0,0,0,0,0,6673000,PAHO,
729,Argentina,2014,4,0,0,0,0,0,0,0,0,0,0,42669000,PAHO,
730,Anguilla,2014,4,0,0,0,0,0,0,0,0,0,0,16000,PAHO,
731,Antigua and Barbuda,2014,4,0,0,0,0,0,0,0,0,0,0,90000,PAHO,
732,Aruba,2014,4,0,0,0,0,0,0,0,0,0,0,109000,PAHO,
733,Bahamas,2014,4,0,0,0,0,0,0,0,0,0,0,377000,PAHO,
734,Barbados,2014,4,0,0,0,0,0,0,0,0,0,0,289000,PAHO,
735,Cayman Islands,2014,4,0,0,0,0,0,0,0,0,0,0,54000,PAHO,
736,Curacao,2014,4,0,0,0,0,0,0,0,0,0,0,147000,PAHO,
737,Dominica,2014,4,0,0,0,0,0,0,0,1,0,0,73000,PAHO,
738,Grenada,2014,4,0,0,0,0,0,0,0,0,0,0,110000,PAHO,
739,Guyana,2014,4,0,0,0,0,0,0,0,0,0,0,800000,PAHO,
740,Jamaica,2014,4,0,0,0,0,0,0,0,0,0,0,2784000,PAHO,
741,Montserrat,2014,4,0,0,0,0,0,0,0,0,0,0,5000,PAHO,
742,Saint Kitts and Nevis,2014,4,0,0,0,0,0,0,0,0,0,0,51000,PAHO,
743,Saint Lucia,2014,4,0,0,0,0,0,0,0,0,0,0,163000,PAHO,
744,Saint Vincent and the Grenadines,2014,4,0,0,0,0,0,0,0,0,0,0,103000,PAHO,
745,Sint Maarten,2014,4,0,0,0,2,5,11,0,0,0,0,40000,PAHO,
746,Suriname,2014,4,0,0,0,0,0,0,0,0,0,0,539000,PAHO,
747,Trinidad and Tobago,2014,4,0,0,0,0,0,0,0,0,0,0,1341000,PAHO,
748,Turks and Caicos Islands,2014,4,0,0,0,0,0,0,0,0,0,0,48000,PAHO,
749,"Virgin Islands, U.S.",2014,4,0,0,0,0,0,0,0,0,0,0,105000,PAHO
750,British Virgin Islands,2014,4,0,0,0,0,0,3,0,0,0,0,32000,PAHO,
751,Bermuda,2014,5,0,0,0,0,0,0,0,0,0,0,69000,PAHO,
752,Canada,2014,5,0,0,0,0,0,0,0,0,0,0,35182000,PAHO,
753,Mexico,2014,5,0,0,0,0,0,0,0,0,0,0,118129000,PAHO,
754,United States,2014,5,0,0,0,0,0,0,0,0,0,0,320051000,PAHO,
755,Belize,2014,5,0,0,0,0,0,0,0,0,0,0,322000,PAHO,
756,Costa Rica,2014,5,0,0,0,0,0,0,0,0,0,0,4872000,PAHO,
757,El Salvador,2014,5,0,0,0,0,0,0,0,0,0,0,6340000,PAHO,
758,Guatemala,2014,5,0,0,0,0,0,0,0,0,0,0,15468000,PAHO,
759,Honduras,2014,5,0,0,0,0,0,0,0,0,0,0,8098000,PAHO,
760,Nicaragua,2014,5,0,0,0,0,0,0,0,0,0,0,6080000,PAHO,
761,Panama,2014,5,0,0,0,0,0,0,0,0,0,0,3864000,PAHO,
